university,user_id,user_name,number_tweets,friends_count,followers_count,created_at
pucv_cl,790025434278467540,qwarren,4704,2347,4345,Tue Feb 15 16:49:58 +0000 2022
pucv_cl,571585803440311370,whitemargaret,3051,1097,4947,Thu Jul 08 11:03:47 +0000 2021
pucv_cl,590942290264468193,christopherbanks,4687,1107,4780,Fri Sep 24 11:14:28 +0000 2021
pucv_cl,654507802283172228,cassandraruiz,4036,839,3602,Mon Jan 01 14:42:47 +0000 2024
pucv_cl,842617851689415948,sbrown,1241,1333,2762,Fri Oct 08 21:39:26 +0000 2021
pucv_cl,494548492833511097,bmartinez,2482,2222,3002,Tue Jan 09 12:59:33 +0000 2024
pucv_cl,96136189864135323,joseph01,3699,807,4802,Thu Sep 28 03:28:49 +0000 2023
pucv_cl,402987969218336301,rachelmcconnell,2311,2125,3095,Mon Feb 19 08:08:56 +0000 2024
pucv_cl,177029289294939593,psmith,1634,2477,3964,Mon Dec 05 02:00:20 +0000 2022
pucv_cl,773858028063716841,patelcourtney,1643,1676,4635,Thu Nov 09 20:39:26 +0000 2023
pucv_cl,772005008265157269,pyu,1538,2860,2096,Fri Aug 13 09:07:48 +0000 2021
pucv_cl,214245264792965390,jasonwebb,4631,2685,4246,Fri Sep 25 03:56:56 +0000 2020
pucv_cl,280898663979051098,egates,3341,1524,2033,Wed Jul 07 10:25:11 +0000 2021
pucv_cl,286504476165474397,donna53,4116,2839,4728,Wed May 19 07:54:27 +0000 2021
pucv_cl,728886338523314562,guerrerojohn,3854,1399,3054,Wed Dec 06 21:46:23 +0000 2023
pucv_cl,245334895788220508,mckinneykeith,4386,1542,3707,Fri Sep 25 08:20:54 +0000 2020
pucv_cl,545900622952437800,stevengregory,1632,1034,3729,Wed Oct 26 07:38:47 +0000 2022
pucv_cl,756126976060597111,bonniewilliamson,4968,1385,3254,Tue Jul 18 01:46:08 +0000 2023
pucv_cl,495900094464850934,davidwhite,1033,909,3330,Tue Apr 02 07:47:35 +0000 2024
pucv_cl,157848415616554187,zlane,1560,2102,4794,Thu Sep 29 22:44:15 +0000 2022
pucv_cl,298270501562438219,tannermurphy,2514,1776,3337,Wed Jun 28 19:51:21 +0000 2023
pucv_cl,962517986807978350,armstrongglenn,4168,1457,3600,Thu Sep 01 21:41:31 +0000 2022
pucv_cl,624828218102881465,uperry,1400,551,2791,Wed Oct 21 03:25:51 +0000 2020
pucv_cl,287631160469747144,alan78,1373,1622,3732,Fri Aug 21 04:39:31 +0000 2020
pucv_cl,757317610420975730,amanda92,3617,2131,4184,Sun Nov 22 02:21:14 +0000 2020
pucv_cl,23561071022764339,tyler85,3325,2777,4895,Fri Jul 15 02:25:31 +0000 2022
pucv_cl,483584941675336727,peggypowers,1391,2189,4206,Sat May 18 14:50:29 +0000 2024
pucv_cl,928619082738843562,pittsveronica,3791,1983,2034,Mon Jun 07 08:31:01 +0000 2021
pucv_cl,804267341807329321,rhoffman,4379,520,2516,Mon May 24 01:25:04 +0000 2021
pucv_cl,893222815073133557,justinvaughn,2644,874,3484,Mon Mar 18 18:16:16 +0000 2024
pucv_cl,363691119061413222,williamgordon,2952,2286,3335,Tue Jul 20 23:25:16 +0000 2021
pucv_cl,103748866769436772,chad64,4331,930,4730,Wed Mar 29 17:03:20 +0000 2023
pucv_cl,505283501786917038,qosborn,1667,1534,3426,Thu Jul 09 15:19:21 +0000 2020
pucv_cl,643788953732253562,mcmahondaniel,4201,1492,2445,Tue Nov 28 06:44:56 +0000 2023
pucv_cl,320386703064098875,xlee,2958,1399,4308,Sat Mar 09 11:00:47 +0000 2024
pucv_cl,227724465774980316,angela09,4647,1330,2738,Sat Dec 11 18:23:54 +0000 2021
pucv_cl,389462743996094772,allison23,4447,2990,3269,Tue Mar 22 03:04:31 +0000 2022
pucv_cl,148058566438485139,catherine64,4609,667,3444,Mon Dec 04 14:24:15 +0000 2023
pucv_cl,476153446323239203,nathan47,4344,2796,3790,Sun Oct 02 14:04:05 +0000 2022
pucv_cl,865897308584012034,mary54,3649,724,3952,Sat Sep 11 17:56:57 +0000 2021
pucv_cl,698658763260961599,meyerkenneth,2556,2469,4645,Fri Dec 17 10:54:32 +0000 2021
pucv_cl,474482714624385263,kevin27,4624,793,4229,Fri Dec 15 21:06:56 +0000 2023
pucv_cl,523589298836480600,slamb,4804,2801,2221,Sat Aug 01 19:09:39 +0000 2020
